45,49,49,65,65,45
60,62,63,80,80,60
80,82,83,100,100,80
39,52,43,60,50,65
58,64,58,80,65,80
78,84,78,109,85,100
44,48,65,50,64,43
59,63,80,65,80,58
79,83,100,85,105,78
45,30,35,20,20,45
50,20,55,25,25,30
60,45,50,80,80,70
40,35,30,20,20,50
45,25,50,25,25,35
65,80,40,45,80,75
40,45,40,35,35,56
63,60,55,50,50,71
83,80,75,70,70,91
30,56,35,25,35,72
55,81,60,50,70,97
40,60,30,31,31,70
65,90,65,61,61,100
35,60,44,40,54,55
60,85,69,65,79,80
35,55,30,50,40,90
60,90,55,90,80,100
50,75,85,20,30,40
75,100,110,45,55,65
55,47,52,40,40,41
70,62,67,55,55,56
90,82,87,75,85,76
46,57,40,40,40,50
61,72,57,55,55,65
81,92,77,85,75,85
70,45,48,60,65,35
95,70,73,85,90,60
38,41,40,50,65,65
73,76,75,81,100,100
115,45,20,45,25,20
140,70,45,75,50,45
40,45,35,30,40,55
75,80,70,65,75,90
45,50,55,75,65,30
60,65,70,85,75,40
75,80,85,100,90,50
35,70,55,45,55,25
60,95,80,60,80,30
60,55,50,40,55,45
70,65,60,90,75,90
10,55,25,35,45,95
35,80,50,50,70,120
40,45,35,40,40,90
65,70,60,65,65,115
50,52,48,65,50,55
80,82,78,95,80,85
40,80,35,35,45,70
65,105,60,60,70,95
55,70,45,70,50,60
90,110,80,100,80,95
40,50,40,40,40,90
65,65,65,50,50,90
90,85,95,70,90,70
25,20,15,105,55,90
40,35,30,120,70,105
55,50,45,135,85,120
70,80,50,35,35,35
80,100,70,50,60,45
90,130,80,65,85,55
50,75,35,70,30,40
65,90,50,85,45,55
80,105,65,100,60,70
40,40,35,50,100,70
80,70,65,80,120,100
40,80,100,30,30,20
55,95,115,45,45,35
80,110,130,55,65,45
50,85,55,65,65,90
65,100,70,80,80,105
90,65,65,40,40,15
95,75,110,100,80,30
25,35,70,95,55,45
50,60,95,120,70,70
52,65,55,58,62,60
35,85,45,35,35,75
60,110,70,60,60,100
65,45,55,45,70,45
90,70,80,70,95,70
80,80,50,40,50,25
105,105,75,65,100,50
30,65,100,45,25,40
50,95,180,85,45,70
30,35,30,100,35,80
45,50,45,115,55,95
60,65,60,130,75,110
35,45,160,30,45,70
60,48,45,43,90,42
85,73,70,73,115,67
30,105,90,25,25,50
55,130,115,50,50,75
40,30,50,55,55,100
60,50,70,80,80,140
60,40,80,60,45,40
95,95,85,125,65,55
50,50,95,40,50,35
60,80,110,50,80,45
50,120,53,35,110,87
50,105,79,35,110,76
90,55,75,60,75,30
40,65,95,60,45,35
65,90,120,85,70,60
80,85,95,30,30,25
105,130,120,45,45,40
250,5,5,35,105,50
65,55,115,100,40,60
105,95,80,40,80,90
30,40,70,70,25,60
55,65,95,95,45,85
45,67,60,35,50,63
80,92,65,65,80,68
30,45,55,70,55,85
60,75,85,100,85,115
40,45,65,100,120,90
70,110,80,55,80,105
65,50,35,115,95,95
65,83,57,95,85,105
65,95,57,100,85,93
65,125,100,55,70,85
75,100,95,40,70,110
20,10,55,15,20,80
95,125,79,60,100,81
130,85,80,85,95,60
48,48,48,48,48,48
55,55,50,45,65,55
130,65,60,110,95,65
65,65,60,110,95,130
65,130,60,95,110,65
65,60,70,85,75,40
35,40,100,90,55,35
70,60,125,115,70,55
30,80,90,55,45,55
60,115,105,65,70,80
80,105,65,60,75,130
160,110,65,65,110,30
90,85,100,95,125,85
90,90,85,125,90,100
90,100,90,125,85,90
41,64,45,50,50,50
61,84,65,70,70,70
91,134,95,100,100,80
106,110,90,154,90,130
100,100,100,100,100,100
45,49,65,49,65,45
60,62,80,63,80,60
80,82,100,83,100,80
39,52,43,60,50,65
58,64,58,80,65,80
78,84,78,109,85,100
50,65,64,44,48,43
65,80,80,59,63,58
85,105,100,79,83,78
35,46,34,35,45,20
85,76,64,45,55,90
60,30,30,36,56,50
100,50,50,76,96,70
40,20,30,40,80,55
55,35,50,55,110,85
40,60,40,40,40,30
70,90,70,60,60,40
85,90,80,70,80,130
75,38,38,56,56,67
125,58,58,76,76,67
20,40,15,35,35,60
50,25,28,45,55,15
90,30,15,40,20,15
35,20,65,40,65,20
55,40,85,80,105,40
40,50,45,70,45,70
65,75,70,95,70,95
55,40,40,65,45,35
70,55,55,80,60,45
90,75,75,115,90,55
75,80,85,90,100,50
70,20,50,20,50,40
100,50,80,50,80,50
70,100,115,30,65,30
90,75,75,90,100,70
35,35,40,35,55,50
55,45,50,45,65,80
75,55,70,55,85,110
55,70,55,40,55,85
30,30,30,30,30,30
75,75,55,105,85,30
65,65,45,75,45,95
55,45,45,25,25,15
95,85,85,65,65,35
65,65,60,130,95,110
95,65,110,60,130,65
60,85,42,85,42,91
95,75,80,100,110,30
60,60,60,85,85,85
48,72,48,72,48,48
190,33,58,33,58,33
70,80,65,90,65,85
50,65,90,35,35,15
75,90,140,60,60,40
100,70,70,65,65,45
65,75,105,35,65,85
75,85,200,55,65,30
60,80,50,40,40,30
90,120,75,60,60,45
65,95,75,55,55,85
70,130,100,55,80,65
20,10,230,10,230,5
80,125,75,40,95,85
55,95,55,35,75,115
60,80,50,50,50,40
90,130,75,75,75,55
40,40,40,70,40,20
50,50,120,80,80,30
50,50,40,30,30,50
100,100,80,60,60,50
55,55,85,65,85,35
35,65,35,65,35,65
75,105,75,105,75,45
45,55,45,65,45,75
65,40,70,80,140,70
65,80,140,40,70,70
45,60,30,80,50,65
75,90,50,110,80,95
75,95,95,95,95,85
90,60,60,40,40,40
90,120,120,60,60,50
85,80,90,105,95,60
73,95,62,85,65,85
55,20,35,20,45,75
35,35,35,35,35,35
50,95,95,35,110,70
45,30,15,85,65,65
45,63,37,65,55,95
45,75,37,70,55,83
95,80,105,40,70,100
255,10,10,75,135,55
90,85,75,115,100,115
115,115,85,90,75,100
100,75,115,90,115,85
50,64,50,45,50,41
70,84,70,65,70,51
100,134,110,95,100,61
106,90,130,90,154,110
106,130,90,110,154,90
100,100,100,100,100,100
